id,cntry,stflife,happy,fltsd,fltdpr,enjlf,wrhpp,fltanx,fltpcfl,dclvlf,lchshcp,accdng,tmimdng,tmabdng,tmendng,dngval,sedirlf,optftr,lotsgot,pstvms,flrms,wrbknrm,deaimpp,flteeff,slprl,cldgng,enrglot,ppltrst,pplfair,pplhlp,pplahlp,flclpla,inprdsc,flapppl,rehlppl,fltlnl
2,CH,8,3,1,1,3,2,2,3,4,5,2,7,8,4,2,8,2,2,2,4,3,6,2,1,1,3,7,3,5,1,2,4,9,4,1
4,CH,9,8,2,1,3,3,2,3,2,4,2,7,7,8,2,5,2,2,2,4,4,5,1,1,1,3,5,7,7,4,3,0,8,5,1
5,CH,10,8,2,2,3,2,2,3,2,4,2,9,9,10,2,10,1,2,2,4,3,3,3,1,1,2,3,10,5,5,2,3,10,6,1
11,CH,8,8,2,1,2,2,2,2,3,4,3,5,7,5,3,7,3,2,2,4,5,8,1,1,1,2,8,8,2,5,3,6,6,4,2
18,CH,9,10,1,1,4,4,1,4,2,4,2,10,10,9,2,10,2,2,2,4,4,1,2,1,1,4,7,8,6,5,2,4,9,4,1
20,CH,10,10,4,4,2,2,2,3,4,4,2,10,10,10,1,2,1,1,1,1,1,10,4,2,3,4,0,5,6,4,1,1,9,5,1
21,CH,10,9,1,1,3,3,1,3,2,4,2,8,8,9,2,7,2,2,2,2,4,7,1,1,1,3,5,6,5,5,2,3,10,6,1
23,CH,10,10,1,1,4,4,2,4,2,4,2,9,8,8,2,8,2,2,2,5,4,6,1,2,2,3,7,7,5,5,2,1,10,6,2
24,CH,10,10,1,1,4,4,1,4,2,5,2,8,10,7,3,0,1,1,1,5,5,,1,1,1,4,7,3,5,5,5,5,10,6,1
25,CH,9,9,2,1,3,3,2,3,2,3,3,8,8,8,2,7,2,2,2,2,3,7,2,2,2,3,5,7,5,6,2,2,8,5,2
26,CH,7,7,1,2,1,2,2,2,2,4,2,7,6,7,2,7,2,2,2,2,3,5,4,1,2,2,8,8,8,6,2,2,8,5,2
27,CH,7,8,2,2,4,3,2,3,1,2,1,7,7,5,2,5,3,2,2,4,2,5,1,1,1,2,7,5,7,4,1,3,6,5,1
28,CH,10,10,1,1,4,3,2,3,1,4,2,7,8,7,1,8,1,2,1,5,4,6,1,1,1,3,6,6,7,5,1,4,9,5,1
29,CH,8,8,2,2,3,3,2,3,2,3,3,8,8,7,2,7,3,3,3,4,4,6,1,1,1,3,6,7,5,5,2,3,7,5,1
32,CH,8,8,1,1,4,3,1,3,2,2,2,9,8,8,2,6,2,2,2,4,4,5,1,1,1,3,4,7,8,4,2,5,5,5,1
33,CH,8,8,2,2,3,2,2,2,2,4,2,6,6,7,2,8,2,2,2,4,2,8,2,1,2,2,5,10,9,5,2,4,8,4,2
35,CH,8,8,1,1,3,4,1,2,4,5,1,10,10,9,2,8,4,1,1,4,5,4,3,2,1,4,10,0,0,1,4,6,10,5,1
36,CH,7,8,2,2,3,3,2,3,1,2,2,8,8,6,2,10,2,2,2,4,1,3,1,1,1,3,6,7,3,2,2,4,8,4,2
37,CH,8,8,1,1,3,3,1,3,2,2,2,8,8,8,2,7,2,2,2,5,4,6,2,1,1,3,5,8,6,5,2,4,8,5,1
39,CH,9,9,1,1,3,3,1,3,1,4,2,8,8,7,2,8,1,2,2,4,4,8,1,1,1,4,8,7,7,2,4,4,9,5,1
40,CH,10,0,1,1,2,4,1,4,1,5,1,6,7,6,2,0,1,1,3,5,5,7,2,1,1,3,0,5,2,4,2,6,10,6,1
41,CH,10,10,2,2,4,2,1,4,1,1,1,7,6,9,1,9,1,2,2,5,4,6,2,2,2,2,4,5,3,4,1,1,7,5,1
